1,4,24,80,0x961e52a4ad030f
3,6,16,72,0x3b7540ec93024f
5,7,8,64,0xf0ae1e92db190f
7,9,0,56,0xc462d3ed9c02cf
8,11,24,80,0x31bc246efc050f
0,2,0,56,0x89345341cc9c6f
1,4,24,80,0xe9a7336dfd240f
3,6,16,72,0xb0b1b78fa6090f
5,7,8,64,0x238858187302cf
7,9,0,56,0xdbdf67b8991b0f
8,11,24,80,0x5913ed09ea03cf
0,2,0,56,0xe3c1884f31b63f
1,4,24,80,0xb90d70141b030f
3,6,16,72,0x9949011a85024f
5,7,8,64,0x8ac1015fbb190f
7,9,0,56,0x29dc57aa3702cf
8,11,24,80,0xbc544ca7cb240f
0,2,0,56,0x4b7173916a9aa1
1,4,24,80,0x393d6c00df090f
3,6,16,72,0xa73f37cafa1b0f
5,7,8,64,0x2fc9ac9e5402c1
7,9,0,56,0x8f3a14d7f20e0f
8,11,24,80,0x93cb239df403cf
0,2,0,56,0xb84d931fc56f62
1,4,24,80,0xa305641007030f
3,6,16,72,0xe3b581d37e024f
5,7,8,64,0x9bf2a45290190f
7,9,0,56,0x97cdbfc78102c2
8,11,24,80,0xd2e23afd12240f
0,2,0,56,0xc7c847af9110a3
1,4,24,80,0x3529b989a5090f
3,6,16,72,0xbeda898fa41b0f
5,7,8,64,0x9c790f679a02c3
7,9,0,56,0xe2a0bdb89e0e0f
8,11,24,80,0x24d9d9084c03cf
0,2,0,56,0xad69fba09d8964
1,4,24,80,0xd0525bdc84030f
3,6,16,72,0xe07f52915f024f
5,7,8,64,0x9e9dc33cd1190f
7,9,0,56,0xe5dbba07e702c4
8,11,24,80,0x7148f27953240f
0,2,0,56,0x8a91e59970fdb5
1,4,24,80,0xd52d15ff8c1b0f
3,6,16,72,0xaf7e854476090f
5,7,8,64,0x9c06cd262a02c5
7,9,0,56,0x8af769727f0e0f
8,11,24,80,0x9f2fa865e803cf
0,2,0,56,0xdaaf55cedf0726
1,4,24,80,0xa6fe562cea030f
3,6,16,72,0x78aca8852b024f
5,7,8,64,0xef3602cf90190f
7,9,0,56,0x90bfd5a9f702c6
8,11,24,80,0x4bc928f93b240f
0,2,0,56,0xfb34949355cb27
1,4,24,80,0x7c33f536061b0f
3,6,16,72,0x83d310b4e5090f
5,7,8,64,0x68c917044902c7
7,9,0,56,0x9ed3cc229c0e0f
8,11,24,80,0x21b41a0ea603cf
0,2,0,56,0xad1eeea4a14bb8
1,4,24,80,0x7fef57db36030f
3,6,16,72,0xe8d636ee64024f
5,7,8,64,0x77f1f31404190f
7,9,0,56,0xc4e2a2d40a02c8
8,11,24,80,0xe6fca2a85d240f
0,2,0,56,0xd93c6a9aae61e9
1,4,24,80,0x901f65c3ce1b0f
3,6,16,72,0xbf72879d48090f
5,7,8,64,0x5a842c18ec02c9
7,9,0,56,0x96958f7d181a09
8,11,24,80,0xb27280f76e03cf
0,2,0,56,0x4875fecd6777da
1,4,24,80,0xc23c1efe3d030f
3,6,16,72,0x0d275fad73024f
5,7,8,64,0x616ea5a735190f
7,9,0,56,0xeca7b55ab002ca
8,11,24,80,0xe4746d39fe240f
0,2,0,56,0x25ddaf84b56a4b
1,4,24,80,0xad166c7d351b0f
3,6,16,72,0xd1a9a2030d090f
5,7,8,64,0x8458b00c3e02cb
7,9,0,56,0xfadb47e2761a0b
8,11,24,80,0x667729a86403cf
0,2,0,56,0xccd5f875a2339c
1,4,24,80,0x76d8cc16b4030f
3,6,16,72,0x1a496ad5e7024f
5,7,8,64,0x563f70e838190f
7,9,0,56,0x6f107ffc4f02cc
8,11,24,80,0x66ba64c3e7240f
0,2,0,56,0xd1cef4b2a3ca8d
1,4,24,80,0xc0d692076f1b0f
3,6,16,72,0x9269ff3f431a0d
5,7,8,64,0x995097ae6f02cd
7,9,0,56,0xe4013f2b29090f
8,11,24,80,0x169c2960d803cf
0,2,0,56,0xf9e519b57070be
1,4,24,80,0x6caaa1a6f0030f
3,6,16,72,0xbd8353bdb1024f
5,7,8,64,0x2b8d70c766190f
7,9,0,56,0xf20567263702ce
8,11,24,80,0x6cbd42662c1e0e
0,2,0,56,0x0501f8c8619d2f
1,4,24,80,0xa032c4bb64240f
3,6,16,72,0xff2482e3691b0f
5,7,8,64,0x8cf540a15e02cf
7,9,0,56,0x2fcf62ee001a0f
8,11,24,80,0x0857745b8c03cf
0,2,0,56,0xf2b7a6e2b5c17f
1,4,24,80,0xc4557d5a46030f
3,6,16,72,0x3d80f73a70024f
5,7,8,64,0xe95896ab56190f
7,9,0,56,0xf2695bdf4c02cf
8,11,24,80,0xe4299ed2f41e0f
0,2,0,56,0x23c95ba4f1bb2f
1,4,24,80,0x3c93715f8e240f
3,6,16,72,0x84ae1a6dc11b0f
5,7,8,64,0xac5d2d7d9f02cf
7,9,0,56,0xe04cb05f7a1a0f
8,11,24,80,0x51c5b74b2003cf
0,2,0,56,0x78e41a3488ec3f
1,4,24,80,0xd429d6ba1f030f
3,6,16,72,0x196faba197024f
5,7,8,64,0xc0f6f03c75190f
7,9,0,56,0x77e9d124cd02cf
8,11,24,80,0x39a510ab151e0f
0,2,0,56,0x6571f5ee3883ef
1,4,24,80,0x7426c5e8b3240f
3,6,16,72,0xad823563471b0f
5,7,8,64,0x02927aeee202cf
7,9,0,56,0xd02cda5bf61a0f
8,11,24,80,0x372faff85003cf
0,2,0,56,0xdaa7a384b5a58f
1,4,24,80,0x7616b2ea87030f
3,6,16,72,0xb2a4008854024f
5,7,8,64,0x2798f831ae190f
7,9,0,56,0xcd26b7344b02cf
8,11,24,80,0x40f7f219c71e0f
0,2,0,56,0xbe2b7992726c31
1,4,24,80,0x5108c2cc68240f
3,6,16,72,0x1400147b881b0f
5,7,8,64,0xb113488f3b02c1
7,9,0,56,0xddde3695b2090f
8,11,24,80,0x4e301d13cc03cf
0,2,0,56,0xd0bbb29476a692
1,4,24,80,0x8202c878d0030f
3,6,16,72,0x4fa617cb7b024f
5,7,8,64,0x9e20a63ee6190f
7,9,0,56,0xe6b5724ea102c2
8,11,24,80,0xbf7f286b631e0f
0,2,0,56,0x2c25a30e543d43
